threads,grid_size,sync_mode,sync_interval,episodes,schedule,chunk,obstacles_pct,block,training_time_s,converged,vtune_elapsed_s,vtune_ipc,vtune_mem_bound_pct,thread_cpu_time_s,thread_wait_time_s,thread_spin_time_s,thread_overhead_time_s,thread_eff_cpu_util_pct
16,100,sqrt,1000,5000,guided,10,0,1,0.035189,no,0.044,1.118,41.1,NA,NA,NA,NA,NA
40,10,hogwild,0,5000,guided,10,50,1,0.006873,yes,0.018,0.292,82.7,NA,NA,NA,NA,NA
2,50,sqrt,10,10000,static,10,50,1,2.654176,no,2.662,2.872,6.1,NA,NA,NA,NA,NA
8,50,hogwild,0,5000,static,10,0,1,0.008309,yes,0.015,1.163,56.7,NA,NA,NA,NA,NA
2,100,hogwild,0,10000,dynamic,10,0,1,0.108297,no,0.121,1.299,16.7,NA,NA,NA,NA,NA
8,50,statespace,0,10000,static,1,50,1,0.484939,no,0.496,4.234,1.1,NA,NA,NA,NA,NA
8,10,sqrt,1000,5000,static,1,50,1,0.003066,yes,0.010,1.562,29.5,NA,NA,NA,NA,NA
20,100,sqrt,10,5000,static,1,50,1,1.315251,no,1.348,2.290,16.6,NA,NA,NA,NA,NA
4,10,hogwild,0,5000,dynamic,10,0,1,0.002443,yes,0.023,0.919,0.0,NA,NA,NA,NA,NA
8,100,sqrt,1000,10000,guided,10,0,1,0.072055,no,0.086,1.286,10.7,NA,NA,NA,NA,NA
4,50,sqrt,1000,5000,guided,1,50,1,0.451475,no,0.469,4.281,2.2,NA,NA,NA,NA,NA
16,10,hogwild,0,10000,guided,1,0,1,0.006920,yes,0.014,0.285,83.7,NA,NA,NA,NA,NA
40,100,sqrt,1000,5000,static,1,0,1,0.053823,no,0.068,0.722,61.7,NA,NA,NA,NA,NA
16,10,sqrt,1000,5000,static,10,50,1,0.003864,yes,0.015,1.113,0.0,NA,NA,NA,NA,NA
4,50,sqrt,10,10000,dynamic,10,0,1,0.140812,yes,0.149,1.085,22.2,NA,NA,NA,NA,NA
40,100,sqrt,1000,5000,guided,0,0,1,0.053831,no,0.072,0.723,60.4,NA,NA,NA,NA,NA
8,10,sqrt,0,10000,static,1,0,1,0.004843,yes,0.014,0.867,64.7,NA,NA,NA,NA,NA
20,50,hogwild,0,5000,guided,10,0,1,0.007405,yes,0.019,0.720,61.8,NA,NA,NA,NA,NA
8,50,statespace,0,5000,static,1,50,1,0.300406,no,0.313,4.242,1.5,NA,NA,NA,NA,NA
40,50,sqrt,0,5000,static,0,0,1,0.044251,no,0.057,0.455,100.0,NA,NA,NA,NA,NA
2,100,sqrt,0,5000,guided,10,50,1,4.388926,no,4.421,4.589,0.7,NA,NA,NA,NA,NA
16,50,sqrt,0,10000,static,0,0,1,0.064746,no,0.080,0.834,50.2,NA,NA,NA,NA,NA
20,10,sqrt,10,5000,static,10,0,1,0.022427,yes,0.033,0.277,91.4,NA,NA,NA,NA,NA
16,100,sqrt,1000,5000,guided,1,50,1,0.646228,no,0.673,4.501,2.9,NA,NA,NA,NA,NA
20,100,sqrt,0,5000,guided,0,50,1,0.617673,no,0.644,3.917,14.2,NA,NA,NA,NA,NA
16,50,sqrt,1000,5000,static,0,50,1,0.171373,no,0.184,4.112,1.2,NA,NA,NA,NA,NA
20,10,statespace,0,10000,guided,10,50,1,0.010152,yes,0.017,0.597,78.4,NA,NA,NA,NA,NA
4,50,sqrt,1000,10000,static,10,0,1,0.032501,yes,0.044,1.402,32.3,NA,NA,NA,NA,NA
8,50,sqrt,0,10000,dynamic,0,50,1,0.520543,no,0.551,3.723,4.5,NA,NA,NA,NA,NA
20,100,statespace,0,5000,static,10,50,1,0.544876,no,0.580,4.501,1.7,NA,NA,NA,NA,NA
2,50,sqrt,0,5000,guided,1,50,1,0.721557,no,0.740,4.165,1.4,NA,NA,NA,NA,NA
20,100,hogwild,0,10000,guided,1,0,1,0.020605,no,0.037,0.856,89.4,NA,NA,NA,NA,NA
20,100,sqrt,10,5000,guided,10,0,1,0.446463,no,0.459,0.586,44.5,NA,NA,NA,NA,NA
40,100,hogwild,0,5000,static,0,0,1,0.012345,yes,0.022,0.591,51.7,NA,NA,NA,NA,NA
2,10,sqrt,1000,5000,dynamic,0,50,1,0.005973,yes,0.022,1.908,42.4,NA,NA,NA,NA,NA
20,50,hogwild,0,10000,guided,1,0,1,0.010520,no,0.032,0.716,74.5,NA,NA,NA,NA,NA
20,50,sqrt,10,5000,dynamic,1,50,1,0.327694,no,0.341,1.755,23.3,NA,NA,NA,NA,NA
4,50,statespace,0,5000,static,0,0,1,0.025300,yes,0.033,1.352,31.7,NA,NA,NA,NA,NA
8,50,hogwild,0,10000,guided,10,0,1,0.013477,yes,0.034,1.160,66.9,NA,NA,NA,NA,NA
8,50,sqrt,0,10000,dynamic,10,50,1,1.105835,no,1.118,2.573,7.1,NA,NA,NA,NA,NA
16,100,sqrt,10,10000,guided,1,50,1,2.370557,no,2.396,2.848,14.2,NA,NA,NA,NA,NA
8,100,sqrt,10,5000,guided,10,0,1,0.316278,no,0.333,0.881,19.7,NA,NA,NA,NA,NA
8,50,sqrt,10,10000,dynamic,0,50,1,0.728845,no,0.751,2.868,8.6,NA,NA,NA,NA,NA
20,100,sqrt,10,10000,guided,1,0,1,0.441572,no,0.458,0.698,68.4,NA,NA,NA,NA,NA
2,10,statespace,0,5000,dynamic,1,0,1,0.002792,yes,0.018,1.355,0.0,NA,NA,NA,NA,NA
40,100,sqrt,10,10000,dynamic,10,0,1,1.209070,no,1.227,0.409,43.6,NA,NA,NA,NA,NA
2,100,sqrt,0,5000,guided,0,50,1,4.388882,no,4.419,4.574,0.8,NA,NA,NA,NA,NA
16,50,sqrt,0,10000,static,1,50,1,0.467748,no,0.492,2.537,14.2,NA,NA,NA,NA,NA
20,10,sqrt,0,10000,dynamic,0,50,1,0.020481,yes,0.029,0.330,100.0,NA,NA,NA,NA,NA
20,100,hogwild,0,10000,guided,0,0,1,0.021117,yes,0.044,0.837,95.5,NA,NA,NA,NA,NA
8,10,statespace,0,5000,static,1,0,1,0.002574,yes,0.013,0.883,0.0,NA,NA,NA,NA,NA
20,50,sqrt,0,10000,dynamic,1,50,1,0.429899,no,0.443,2.437,15.4,NA,NA,NA,NA,NA
4,10,sqrt,0,5000,dynamic,1,50,1,0.004670,yes,0.015,1.544,0.0,NA,NA,NA,NA,NA
40,100,statespace,0,5000,static,1,0,1,0.050748,no,0.061,0.763,36.7,NA,NA,NA,NA,NA
8,50,statespace,0,10000,guided,1,50,1,0.485370,no,0.494,4.237,1.2,NA,NA,NA,NA,NA
2,50,statespace,0,10000,guided,0,0,1,0.041866,yes,0.049,1.495,40.9,NA,NA,NA,NA,NA
16,50,statespace,0,5000,guided,10,50,1,0.174881,no,0.192,4.153,1.3,NA,NA,NA,NA,NA
16,10,hogwild,0,5000,guided,0,0,1,0.004900,yes,0.018,0.303,0.0,NA,NA,NA,NA,NA
2,10,sqrt,0,10000,dynamic,1,50,1,0.011122,yes,0.019,1.958,40.2,NA,NA,NA,NA,NA
40,100,sqrt,0,5000,dynamic,0,0,1,0.127538,no,0.141,0.463,61.5,NA,NA,NA,NA,NA
40,10,sqrt,10,10000,static,0,50,1,0.514184,yes,0.521,0.345,25.8,NA,NA,NA,NA,NA
4,100,sqrt,0,10000,dynamic,10,50,1,7.426904,no,7.462,4.378,1.4,NA,NA,NA,NA,NA
4,100,statespace,0,5000,dynamic,0,0,1,0.062695,no,0.076,1.312,8.3,NA,NA,NA,NA,NA
4,100,hogwild,0,5000,dynamic,1,0,1,0.042136,no,0.060,1.237,56.1,NA,NA,NA,NA,NA
